CO_FRAC_RA,Paraguay,Bolivia,Brasil,Peru,Colombia
1_1_1,42,8,1,30,3
1_10_1,3,1,1,0,4
1_10_10,15,7,4,83,25
1_10_11,5,2,2,13,1
1_10_12,7,3,5,14,4
1_10_13,15,9,7,9,6
1_10_14,3,3,2,5,3
1_10_2,9,4,31,2,2
1_10_3,18,0,2,29,5
1_10_4,5,2,6,2,1
1_10_5,14,4,1,8,0
1_10_6,3,3,2,23,15
1_10_7,8,3,0,19,3
1_10_8,8,2,1,9,6
1_10_9,14,1,0,1,2
1_11_1,13,12,15,7,10
1_11_10,19,6,3,14,15
1_11_11,3,4,1,6,0
1_11_12,14,6,22,51,45
1_11_13,14,2,13,13,4
1_11_14,9,2,9,26,13
1_11_2,7,5,1,17,9
1_11_3,15,0,5,16,2
1_11_4,22,13,1,26,11
1_11_5,21,9,4,20,12
1_11_6,9,2,5,4,1
1_11_7,11,11,3,30,4
1_11_8,12,5,19,27,7
1_11_9,6,2,1,4,17
1_12_1,5,8,39,22,5
1_12_10,4,3,48,3,16
1_12_11,9,1,48,25,7
1_12_12,18,1,105,7,10
1_12_2,3,0,4,0,7
1_12_3,7,7,57,23,13
1_12_4,17,3,11,19,6
1_12_5,21,1,5,46,4
1_12_6,12,11,4,17,1
1_12_7,31,6,15,43,21
1_12_8,3,0,33,8,17
1_12_9,16,7,202,74,27
1_13_1,12,0,15,3,26
1_13_10,12,1,6,5,21
1_13_11,1,0,5,1,6
1_13_12,0,0,5,0,6
1_13_13,6,1,25,5,7
1_13_14,264,27,2,970,3
1_13_2,1,0,3,0,2
1_13_3,0,0,0,0,0
1_13_4,4,1,64,5,52
1_13_5,3,0,9,0,2
1_13_6,2,0,6,0,3
1_13_7,0,2,14,2,12
1_13_8,2,2,4,1,7
1_13_9,3,1,9,2,1
1_14_1,24,9,47,53,3
1_14_10,7,3,1,2,12
1_14_11,22,1,3,37,5
1_14_12,7,0,3,31,4
1_14_2,4,12,71,17,6
1_14_3,12,2,3,33,9
1_14_4,0,0,0,0,0
1_14_5,16,7,0,34,4
1_14_6,21,5,1,48,10
1_14_7,6,0,5,6,12
1_14_8,6,1,3,76,2
1_14_9,26,4,5,8,3
1_15_1,10,3,38,9,13
1_15_10,10,3,4,19,11
1_15_11,26,1,4,23,9
1_15_2,16,3,10,64,22
1_15_3,18,0,5,2,15
1_15_4,9,9,18,6,7
1_15_5,13,0,14,23,10
1_15_6,26,3,21,15,16
1_15_7,16,2,3,17,12
1_15_8,16,5,9,57,3
1_15_9,16,12,6,68,4
1_16_1,18,5,27,15,7
1_16_10,6,2,3,2,0
1_16_11,8,1,1,10,2
1_16_12,6,1,3,19,0
1_16_2,1,3,3,19,6
1_16_3,10,2,77,21,17
1_16_4,15,4,12,10,16
1_16_5,9,1,5,48,9
1_16_6,13,10,1,16,7
1_16_7,21,4,107,97,12
1_16_8,12,9,3,19,4
1_16_9,6,3,1,22,0
1_17_1,24,5,2,31,23
1_17_10,12,7,2,4,1
1_17_11,14,3,1,8,4
1_17_2,28,103,12,17,7
1_17_3,29,6,6,46,4
1_17_4,17,3,1,58,2
1_17_5,5,4,1,12,2
1_17_6,34,6,2,19,4
1_17_7,14,10,3,11,5
1_17_8,18,8,0,24,3
1_17_9,17,4,0,3,1
1_18_1,41,9,4,23,4
1_18_2,12,5,1,9,6
1_18_3,13,2,3,26,4
1_18_4,12,11,2,48,4
1_18_5,17,4,10,28,2
1_18_6,24,22,3,179,3
1_18_7,27,4,3,70,7
1_18_8,32,5,0,32,1
1_18_9,13,9,1,21,4
1_19_1,27,28,1,70,29
1_19_2,21,15,7,26,14
1_19_3,17,3,1,4,2
1_19_4,24,6,3,31,7
1_19_5,11,10,2,24,1
1_19_6,15,5,2,23,4
1_19_7,24,7,14,62,6
1_19_8,18,11,16,34,7
1_19_9,7,4,1,8,1
1_2_1,28,52,0,4,0
1_2_10,23,59,0,10,0
1_2_11,104,149,0,18,0
1_2_12,296,74,0,77,0
1_2_13,37,113,0,16,0
1_2_14,156,60,1,75,0
1_2_15,120,89,1,108,0
1_2_16,331,210,0,132,0
1_2_17,59,106,0,79,0
1_2_18,49,95,0,36,0
1_2_19,111,68,0,72,0
1_2_2,44,56,0,1,0
1_2_3,12,36,0,4,1
1_2_4,5,59,0,8,0
1_2_5,13,13,0,6,0
1_2_6,116,73,0,33,1
1_2_7,67,44,0,6,0
1_2_8,73,153,0,47,1
1_2_9,39,91,0,59,0
1_20_1,32,6,2,21,15
1_20_10,16,15,0,26,2
1_20_2,28,4,4,30,1
1_20_3,10,1,0,12,2
1_20_4,18,31,1,15,3
1_20_5,11,6,5,25,3
1_20_6,24,7,3,6,4
1_20_7,9,5,0,7,2
1_20_8,8,12,6,36,2
1_20_9,17,7,3,20,3
