"","P06","cant"
"1","Argentina",2508373
"2","Paraguay",80325
"3","Bolivia",76609
"4","Peru",60478
"5","Uruguay",30741
"6","Espana",26282
"7","Italia",22168
"8","Brasil",10357
"9","208",9857
"10","Colombia",9619
"11","Estados Unidos",5979
"12","308",4337
"13","China",3932
"14","Venezuela",3002
"15","412",2838
"16","Ecuador",2761
"17","424",2478
"18","438",2321
"19","218",2024
"20","Rep. Dominicana",1994
"21","309",1905
"22","313",1717
"23","207",1553
"24","320",1484
"25","445",1416
"26","426",1162
"27","444",1150
