id;nhogar;miembro;comuna;dominio;edad;sexo;parentes_2;p5_2;p6_a;p6_b;estado;categori;t13;t14;t15;t18;t19;t28;t29;t29a;t30;sem_hs;t33;t34;t35;t37_cod_2;t37_coda_2;t38;t39;t40;t41_cod_2;t47;t48;t49;t50a;t50b;t50c;t50d;t50e;t50f;t51_bis;i1;i4;i6_3;i10;i11;codioph;ioph_2;codioph_neto;ioph_neto_2;codios;ios_2;codioa;ioa_2;codlab;inglab_2;codnolab;ingnolab_2;coding;ingtot_2;codi_tot;itfb_2;ipcfb_2;e2;e4;e6;e12;nivel;aesc;m1;m1_2;m2_anio;m3_anio;tipcob2_2;s2;sn4;sn5;sn16;s28;s29;fexp
1;1;1;8;4;16;1;1;6;95;95;1;3;0;0;0;0;0;0;0;0;1;35.00;2;0;2;3100;1;3;2;3;80313;0;0;3;2;2;2;2;2;2;3;1;0;2;0;0;1;2000;1;2000;0;0;2;0;1;2000;2;0;1;2000;1;2000;2000;2;0;0;7;4;7;5;5;2009;2009;1;1;3;1;3;0;0;55
2;1;1;9;3;18;2;1;1;95;95;1;3;0;0;0;0;0;0;0;0;1;6.00;1;1;1;4810;3;2;5;2;33314;0;0;1;2;2;2;2;2;2;3;1;0;2;0;0;1;500;1;500;0;0;2;0;1;500;2;0;1;500;9;17500;5833;1;1;10;0;4;8;1;1;0;1;1;1;3;1;4;1;1;40
2;1;2;9;3;37;1;7;1;0;0;1;3;0;0;0;0;0;0;0;0;1;34.00;1;1;9;4803;3;2;2;2;30313;0;0;1;2;2;2;2;2;2;3;1;0;2;0;0;9;12000;9;12000;0;0;2;0;9;12000;1;5000;9;17000;9;17500;5833;2;0;0;3;2;3;1;1;0;1;1;1;2;3;4;0;0;40
2;1;3;9;3;0;1;3;0;95;1;3;0;0;0;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;17500;5833;3;0;0;0;8;0;1;1;0;1;1;1;3;2;3;0;0;40
3;1;1;2;4;18;2;1;6;95;95;2;0;0;0;1;1;2018;0;0;0;0;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;1;6000;1;6000;1;6000;6000;1;1;13;0;6;12;2;2;0;2018;2;1;3;7;2;2;0;214
4;1;1;2;4;18;1;1;6;95;95;2;0;0;0;2;1;2018;0;0;0;0;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;1;16500;1;16500;1;16500;16500;1;3;13;0;6;12;4;4;2018;2018;1;3;3;6;2;0;0;180
5;1;1;2;4;18;2;1;6;95;95;3;0;2;2;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;8000;1;8000;1;16000;8000;1;1;13;0;6;12;2;2;0;2018;2;1;3;6;1;2;0;196
5;1;2;2;4;22;2;7;6;95;95;3;0;2;2;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;8000;1;8000;1;16000;8000;1;1;13;0;6;16;2;2;0;2014;2;1;3;5;1;2;0;196
6;1;1;7;4;18;2;1;6;95;95;1;3;0;0;0;0;0;0;0;0;1;2.00;1;1;1;4807;3;2;1;1;30313;1;1;0;0;0;0;0;0;0;3;0;0;0;2;0;1;500;1;500;0;0;2;0;1;500;9;300;9;800;9;15300;7650;2;0;0;7;4;9;5;5;2016;2016;1;1;3;2;3;2;0;239
6;1;2;7;4;23;2;7;6;95;95;1;3;0;0;0;0;0;0;0;0;1;60.00;2;0;1;4804;3;2;2;2;80313;0;0;1;2;2;2;2;2;2;3;1;0;2;0;0;1;1500;1;1500;0;0;2;0;1;1500;9;13000;9;14500;9;15300;7650;2;0;0;7;4;11;5;5;2013;2013;1;2;3;2;2;1;1;239
7;1;1;8;4;18;2;1;6;95;95;2;0;0;0;1;1;2018;0;0;0;0;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;1;6000;1;6000;1;24000;12000;2;0;0;7;5;12;3;3;0;2018;2;1;3;1;2;2;0;28
7;1;2;8;4;26;1;7;6;0;0;1;3;0;0;0;0;0;0;0;0;1;48.00;2;0;2;4808;3;2;2;3;32333;0;0;2;1;1;1;1;1;2;1;1;0;2;0;0;1;18000;1;18000;0;0;2;0;1;18000;2;0;1;18000;1;24000;12000;2;0;0;7;5;12;3;3;0;2017;2;1;3;6;2;0;0;28
8;1;1;11;4;18;1;1;1;95;95;1;2;0;0;0;0;0;0;0;0;1;63.00;2;0;2;4501;3;2;2;2;30113;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;20000;1;20000;0;0;2;0;1;20000;2;0;1;20000;1;30000;15000;3;0;0;0;8;0;1;1;0;1;1;1;1;3;2;0;0;381
8;1;2;11;4;18;2;2;1;95;95;3;0;2;2;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;10000;1;10000;1;30000;15000;2;0;0;3;2;3;3;3;0;2017;1;3;1;3;2;2;0;381
9;1;1;2;4;19;1;1;6;95;95;3;0;2;2;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;10000;1;10000;1;45000;15000;1;1;13;0;6;12;3;3;0;2017;4;1;1;6;2;0;0;272
9;1;2;2;4;19;1;8;6;95;95;1;3;0;0;0;0;0;0;0;0;2;60.00;2;0;2;5601;3;2;2;3;53314;0;0;1;2;2;2;2;2;2;3;1;0;2;0;0;1;8000;1;8000;1;6000;2;0;1;14000;1;3000;1;17000;1;45000;15000;1;1;13;0;6;12;4;4;2018;2018;1;1;3;2;2;0;0;272
9;1;3;2;4;24;1;8;6;95;95;1;3;0;0;0;0;0;0;0;0;1;30.00;2;0;2;8200;5;2;2;3;30333;0;0;2;1;1;1;1;1;2;1;1;0;2;0;0;1;18000;1;18000;0;0;2;0;1;18000;2;0;1;18000;1;45000;15000;1;1;13;0;6;15;4;4;2018;2018;2;2;3;2;2;0;0;272
10;1;1;2;4;19;1;1;6;95;95;3;0;2;2;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;8000;1;8000;1;8000;8000;1;1;13;0;6;12;3;3;0;2018;2;1;3;7;1;0;0;425
11;1;1;3;4;19;1;1;6;95;95;3;0;2;2;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;8000;1;8000;1;8000;8000;1;1;13;0;6;12;2;2;0;2018;3;2;3;6;2;0;0;527
12;1;1;1;4;19;1;1;6;95;95;3;0;1;1;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;1;10000;1;10000;1;10000;10000;1;1;13;0;6;14;2;2;0;2017;2;2;1;6;1;0;0;138
13;1;1;1;4;19;2;1;6;95;95;3;0;2;2;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;10000;1;10000;1;10000;10000;1;3;13;0;6;12;5;5;2018;2018;1;1;3;7;2;2;0;116
14;1;1;2;4;19;2;1;6;95;95;3;0;2;1;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;1;7000;1;7000;1;14000;7000;1;1;13;0;6;12;2;2;0;2018;2;2;3;7;3;2;0;164
14;1;2;2;4;21;1;7;6;95;95;3;0;2;2;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;7000;1;7000;1;14000;7000;1;1;13;0;6;14;2;2;0;2016;2;1;2;7;2;0;0;164
15;1;1;2;4;19;2;1;6;95;95;3;0;2;2;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;15000;1;15000;1;15000;15000;1;3;13;0;6;13;2;2;0;2017;4;2;3;6;1;2;0;437
16;1;1;2;4;19;1;1;6;95;95;3;0;2;1;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;1;30000;1;30000;1;50000;25000;1;3;13;0;6;12;3;3;0;2018;4;1;1;6;1;0;0;195
16;1;2;2;4;20;2;7;6;95;95;3;0;2;2;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;20000;1;20000;1;50000;25000;1;1;13;0;6;13;3;3;0;2015;4;1;3;6;1;2;0;195
17;1;1;2;4;19;1;1;6;95;95;3;0;1;1;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;1;15000;1;15000;1;26000;13000;1;1;13;0;6;12;2;2;0;2017;4;1;2;6;1;0;0;209
17;1;2;2;4;19;1;8;6;95;95;3;0;2;2;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;11000;1;11000;1;26000;13000;1;1;13;0;6;12;2;2;0;2018;2;1;2;6;1;0;0;209
18;1;1;9;4;19;1;1;6;95;95;3;0;2;2;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;15000;1;15000;1;15000;15000;1;1;13;0;6;12;3;3;0;2013;2;2;3;9;2;0;0;183
19;1;1;2;4;19;2;1;6;95;95;3;0;1;2;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;3000;1;3000;1;3000;3000;1;1;13;0;6;13;3;3;0;2017;5;1;1;2;2;2;0;194
